Country,lat,lon
Albania,41.153332,20.168331
Armenia,40.069099,45.038189
Australia,-25.274398,133.775136
Austria,47.516231,14.550072
Azerbaijan,40.143105,47.576927
Belarus,53.709807,27.953389
Belgium,50.503887,4.469936
Cyprus,35.126413,33.429859
Czech Republic,49.817492,15.472962
Denmark,56.26392,9.501785
Estonia,58.595272,25.013607
Macedonia,41.608635,21.745275
Finland,61.92411,25.748151
France,46.227638,2.213749
Georgia,41.716667,44.783333
Germany,51.165691,10.451526
Greece,39.074208,21.824312
Hungary,47.162494,19.503304
Iceland,64.963051,-19.020835
Ireland,53.41291,-8.24389
Israel,31.046051,34.851612
Italy,41.87194,12.56738
Latvia,56.879635,24.603189
Lithuania,55.169438,23.881275
Malta,35.937496,14.375416
Moldova,47.411631,28.369885
Montenegro,42.708678,19.37439
Norway,60.472024,8.468946
Poland,51.919438,19.145136
Portugal,39.399872,-8.224454
Romania,45.943161,24.96676
Russia,61.52401,105.318756
San Marino,43.94236,12.457777
Serbia,44.016521,21.005859
Slovenia,46.151241,14.995463
Spain,40.463667,-3.74922
Sweden,60.128161,18.643501
Switzerland,46.818188,8.227512
the Netherlands,52.132633,5.291266
United Kingdom,54.00366,-2.547855
